"","CountryID","IDSCHOOL","IDSTUD","Gender","Num_of_Books","Born_in_Country","EmotionalFactor","MathematicalTendencyFactor","ses","y"
"64","792","5003.T","50030823","2","5","2","-2.45582426904614","-0.555910216383395","13",438.216722
"70","792","5003.T","50030831","2","4","2","0.451974638667276","1.35850000923712","11",699.983228
"72","792","5004.T","50040801","2","3","2","0.524929224929334","1.18028981579771","15",680.131974
"73","792","5004.T","50040803","2","2","2","0.723351361170918","0.912559534220573","15",548.181382
"75","792","5004.T","50040807","2","1","2","0.83961553893397","-0.0274776105251616","14",629.39582
"76","792","5004.T","50040808","2","3","2","0.506271739173306","1.3152786365055","11",607.953546
"77","792","5004.T","50040810","2","2","2","-1.42809043838241","-0.749293383549182","13",487.973232
"78","792","5004.T","50040811","1","2","2","0.42255948436399","0.452028965853793","10",529.640732
"80","792","5004.T","50040814","1","3","2","0.582412643786598","1.29803199015056","13",624.382662
"81","792","5004.T","50040815","1","1","2","-0.598152131916902","-0.274456001505753","14",496.200906
"82","792","5004.T","50040816","1","3","2","-0.912854039473136","1.39088444576319","12",625.274582
"84","792","5004.T","50040818","1","3","2","-0.0183002364033874","0.00607504432066935","11",523.66152
"85","792","5004.T","50040819","1","3","2","0.16761031222709","0.652354508643709","12",633.475186
"86","792","5004.T","50040821","2","3","2","0.736291879056438","0.891514750089908","13",567.517862
"87","792","5004.T","50040822","1","2","2","0.246328369309631","0.835174646783614","13",668.278978
"89","792","5004.T","50040824","2","2","2","0.555229582832584","0.378210497539741","14",626.17229
"90","792","5004.T","50040825","2","1","2","-0.14410605273094","-0.0533942677703802","13",627.38037
"91","792","5004.T","50040826","1","3","2","0.419189767824612","1.33523328094243","13",676.776534
"92","792","5005.T","50050101","1","2","2","0.648936758023299","1.19249023914564","13",505.552494
"93","792","5005.T","50050103","2","3","2","0.647624681847419","1.2938750365579","13",573.63158
"94","792","5005.T","50050104","1","3","2","-0.525270034897363","0.455600857406921","12",513.89512
"95","792","5005.T","50050105","2","4","2","-2.87527296806302","-0.193575504868919","11",610.072546
"96","792","5005.T","50050106","1","3","2","0.647624681847419","1.2938750365579","12",603.15927
"98","792","5005.T","50050108","1","1","2","0.457161724026342","-0.0387411850605979","12",374.517454
"99","792","5005.T","50050109","1","2","2","0.100385383219181","-0.448706743321327","12",435.689554
"100","792","5005.T","50050111","2","2","2","-0.267097666317573","-0.36375058521254","15",501.447738
"101","792","5005.T","50050112","2","2","2","0.374907122280743","1.22168391443624","13",525.419362
"103","792","5005.T","50050114","1","1","2","0.546799158217207","1.16449212495345","12",497.112626
"104","792","5005.T","50050115","2","3","2","-0.363741601732717","-0.739066299845269","13",486.14726
"105","792","5005.T","50050116","2","2","2","0.561154507139407","0.709261079464741","11",651.020472
"106","792","5005.T","50050117","1","5","2","0.605086445813311","0.77731153303787","15",538.391562
"107","792","5005.T","50050119","1","2","2","-0.63152011966023","1.45853736327002","12",492.085208
"108","792","5005.T","50050120","2","2","2","0.840728329433842","0.0292988345647596","12",595.16022
"109","792","5005.T","50050121","2","3","2","0.647624681847419","1.2938750365579","12",650.354736
"110","792","5006.T","50060101","2","3","2","0.583942234111766","0.00301978155989491","15",598.06348
"111","792","5006.T","50060102","1","5","2","0.685488021509168","1.10321728538923","16",598.679258
"112","792","5006.T","50060103","1","5","1","0.414320103468445","1.28609014992167","15",493.707076
"113","792","5006.T","50060105","2","4","2","0.307476470917182","0.666622617480031","16",738.374006
"114","792","5006.T","50060106","2","4","2","-0.00357970072038705","1.30767646149474","13",668.636858
"115","792","5006.T","50060107","2","2","2","0.241130840704909","0.512953970618964","15",576.86507
"116","792","5006.T","50060108","2","3","1","0.32045158107333","0.58464793971465","12",698.54761
"117","792","5006.T","50060109","2","3","2","-1.11366894769328","0.0257435002217167","16",583.151656
"118","792","5006.T","50060110","2","4","2","0.655783005987143","0.482657933568401","16",501.96138
"119","792","5006.T","50060111","2","3","2","-3.02072263615297","0.258985911625594","15",617.472798
"120","792","5006.T","50060113","2","3","2","0.0776674559759092","-0.71010460961819","16",507.84617
"121","792","5006.T","50060114","1","3","2","0.376396829307229","1.23778025516107","14",649.411738
"122","792","5006.T","50060115","2","3","2","-0.149256028126809","0.474648223248432","15",589.509688
"123","792","5006.T","50060116","2","5","2","-0.929100832260607","0.42385447179039","16",637.519366
"125","792","5006.T","50060118","2","3","2","-3.08370844479419","-1.54918263074904","15",576.318528
"126","792","5006.T","50060119","1","2","2","0.393975395033251","1.16226971613318","16",532.046374
"127","792","5007.T","50070101","2","3","2","1.2781524042938","-1.7576031054517","14",474.533772
"128","792","5007.T","50070102","1","2","2","0.648092580995563","0.370917487102363","13",585.073922
"129","792","5007.T","50070105","2","1","2","0.226301512273984","1.38126403855751","14",569.745196
"130","792","5007.T","50070106","2","1","2","0.306896265407032","0.822262533258912","14",520.290076
"131","792","5007.T","50070107","2","1","2","-3.27465108277099","-1.62434752607189","12",424.06168
"132","792","5007.T","50070108","2","3","2","0.336496872285133","1.35643531888223","15",641.592554
"133","792","5007.T","50070109","1","2","2","0.489062523801703","-0.878578556590537","13",518.250262
"134","792","5007.T","50070110","1","1","2","-0.0881610297223758","-0.4738331980091","11",410.792932
"135","792","5007.T","50070111","1","2","2","0.406297643501745","0.910446581950581","15",547.710672
"136","792","5007.T","50070113","1","2","2","-0.475377867640024","-0.140017154546455","13",579.629796
"137","792","5007.T","50070114","1","3","2","0.626226708125309","0.843077493282322","15",632.209166
"138","792","5007.T","50070115","2","3","2","0.510227335057806","-0.0462859081777073","14",450.480608
"139","792","5007.T","50070116","1","2","2","0.356231270275725","-0.307814047924942","14",526.47571
"140","792","5007.T","50070117","2","2","2","-0.220490988717322","0.0809909217602785","13",512.582914
"141","792","5007.T","50070118","1","3","2","0.539359772570078","-0.00815175938855317","12",587.088054
"142","792","5007.T","50070119","1","2","2","0.565744976678642","0.892020561726181","12",608.336394
"143","792","5007.T","50070121","1","4","2","0.242543741221926","0.741763070723229","14",385.238274
"144","792","5007.T","50070122","1","3","2","0.47591706521751","0.461417306266192","12",425.232942
"145","792","5007.T","50070123","2","4","2","-0.224959092859417","-0.882356234050906","13",425.415588
"146","792","5008.T","50080102","1","2","1","0.31021360865946","0.830949045233412","12",450.694358
"147","792","5008.T","50080108","2","2","2","-1.31643997761498","-0.826226970233262","14",499.921336
"148","792","5008.T","50080109","1","3","2","0.647624681847419","1.2938750365579","12",638.237988
"149","792","5008.T","50080110","1","3","2","0.647624681847419","1.2938750365579","14",501.69759
"151","792","5008.T","50080112","2","1","2","0.433880248164492","1.35552242951392","12",562.482366
"152","792","5008.T","50080114","2","2","2","0.802978242405929","-0.00900329180463505","12",623.92263
"154","792","5008.T","50080116","2","3","2","0.752573949553081","0.302299226827416","12",548.491348
"155","792","5008.T","50080117","1","3","2","0.805602616012839","0.422267384895743","12",540.349964
"156","792","5008.T","50080118","1","1","2","-0.61609626870756","-0.319184857112699","15",545.188478
"157","792","5008.T","50080119","1","2","2","0.647624681847419","1.2938750365579","15",605.654672
"158","792","5008.T","50080120","1","3","2","0.289379224727095","1.3635698521981","11",490.097752
"159","792","5008.T","50080122","1","3","2","1.2781524042938","-1.7576031054517","13",449.95107
"160","792","5008.T","50080123","2","1","2","1.2781524042938","-1.7576031054517","9",589.244688
"161","792","5008.T","50080124","2","1","2","-0.122008407090381","-1.36258344054085","14",489.508224
"162","792","5008.T","50080126","2","3","2","0.313956884307848","1.03883189985582","14",585.547926
"163","792","5008.T","50080127","2","2","2","0.647624681847419","1.2938750365579","10",624.946792
"164","792","5008.T","50080128","1","3","2","0.558750155376757","0.906963190591103","12",517.66615
"165","792","5009.T","50090202","1","1","2","0.626226708125309","0.843077493282322","14",385.085438
"171","792","5009.T","50090209","1","1","2","0.479665093397838","0.235371916487688","11",467.688182
"172","792","5009.T","50090210","1","1","2","-1.52352562448682","-0.0751212956034482","11",303.619562
"173","792","5009.T","50090211","1","1","2","0.703994900918301","0.845672455494397","10",488.52668
"174","792","5009.T","50090212","2","3","2","-1.35005722382528","-0.289256359469256","12",323.768052
"176","792","5009.T","50090214","1","1","2","-1.80721681280497","-0.299307449459811","10",331.223828
"178","792","5009.T","50090217","2","1","2","0.895154615712473","0.201137252114103","10",447.010668
"181","792","5009.T","50090220","2","1","2","0.140147278318664","-0.110040143879323","11",283.159766
"182","792","5009.T","50090221","2","1","2","-0.0552131247192269","-0.47844943977737","11",354.734204
"183","792","5009.T","50090222","2","1","1","0.190161188516853","-0.181460505043042","10",381.80642
"184","792","5009.T","50090223","2","1","1","-0.421720306395126","0.0302516880198979","11",281.968166
"186","792","5009.T","50090227","2","1","2","0.716928271207145","-0.84778507729981","10",309.243832
"187","792","5009.T","50090228","1","1","2","0.0168035860402809","-1.45802046189709","14",318.03368
"188","792","5010.T","50100301","2","2","2","0.651751985828904","0.453728531693951","11",437.321434
"189","792","5010.T","50100302","1","3","2","-0.0826400864782944","0.137306284278025","11",438.297374
"190","792","5010.T","50100304","2","2","2","0.848869846830259","0.156045607327632","13",444.649328
"192","792","5010.T","50100307","2","4","2","-0.61914718494254","-0.612114380150265","15",382.133766
"193","792","5010.T","50100308","1","1","2","-0.401773244253206","0.97161726695423","10",327.486082
"194","792","5010.T","50100310","1","1","2","-0.678384396355465","1.52307680009619","13",444.11694
"196","792","5010.T","50100312","1","1","2","0.622115195749523","0.443817980662682","13",469.517732
"197","792","5010.T","50100314","1","2","2","0.335548119412743","1.05336707340018","14",518.642718
"198","792","5010.T","50100315","1","4","2","0.285898101341735","0.534103503637268","11",412.855308
"200","792","5010.T","50100318","2","3","2","0.133511873700956","1.02268334468827","10",512.60786
"201","792","5010.T","50100319","1","1","2","0.516960688454955","0.329004184292227","10",431.085486
"202","792","5011.T","50110101","2","1","2","0.736291879056438","0.891514750089908","9",603.306218
"203","792","5011.T","50110103","2","3","2","0.414486849826832","0.295800263574798","13",508.278598
"204","792","5011.T","50110104","1","2","2","0.650149552812568","-0.243718112416904","11",489.222512
"205","792","5011.T","50110105","2","2","2","1.22600931787769","-2.37108661767308","15",466.425706
"206","792","5011.T","50110106","2","2","2","1.22600931787769","-2.37108661767308","14",527.211918
"207","792","5011.T","50110107","1","5","2","1.22600931787769","-2.37108661767308","9",512.217292
"208","792","5011.T","50110108","2","2","2","1.2781524042938","-1.7576031054517","13",506.228962
"209","792","5011.T","50110109","1","2","2","-0.743106506811528","-0.759972267287059","14",389.811356
"210","792","5011.T","50110111","1","1","2","0.435962628172061","-0.560574233351414","11",477.51496
"211","792","5011.T","50110112","1","1","2","0.57488798576123","0.395957689728266","9",553.531464
